ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,鲜重(g),干重(g),株高(cm),分蘖数,绿叶面积(mm2),叶片数,SandBox,D1,D2,RFD,stage,frac,frac_stage,frac_SFD,frac_SandBox,frac_D1,frac_D2,frac_RFD
173,892,988,1.107623318,999.753,1.120799327,165441.833,18.77%,1.78,1.463,14.56302609,0.317,0.154,0.098,0.079,0.065,0.053,0.045,0.045,0.047,0.044,0.032,0.02,0.061,0.341,0.215,0.147,0.116,0.12,67.40000001,14.94,72.2,22,183674.5549,74,1.605462048,2.134212924,1.554092506,2.27451519,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
174,906,804,0.887417219,956.471,1.055707506,135208.333,18.56%,1.785,1.432,14.31058163,0.312,0.154,0.097,0.074,0.061,0.052,0.042,0.039,0.042,0.045,0.044,0.039,0.062,0.346,0.188,0.139,0.111,0.153,68.93999999,12.69999999,60.1,26,117197,#N/A,1.599293052,2.113259261,1.518668014,2.27782528,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
175,635,622,0.979527559,691.564,1.089077165,90702.917,22.96%,1.799,1.387,13.99980676,0.226,0.142,0.107,0.081,0.069,0.064,0.055,0.057,0.052,0.047,0.051,0.05,0.064,0.242,0.218,0.164,0.129,0.183,47.56000001,8.16,51.8,23,65107.1,#N/A,1.606887747,2.083293472,1.480475898,2.316951973,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
176,711,549,0.772151899,624.586,0.878461322,83122,21.29%,1.808,1.372,13.93657243,0.282,0.151,0.097,0.065,0.051,0.041,0.037,0.04,0.04,0.045,0.063,0.088,0.066,0.281,0.196,0.125,0.095,0.238,33.52000001,6.090000002,38.5,37,100391,79,1.629112235,2.074957753,1.466770951,2.311321532,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
177,560,849,1.516071429,915.7481481,1.63526455,57558.167,12.11%,1.654,1.318,13.83336595,0.388,0.191,0.122,0.077,0.052,0.041,0.036,0.03,0.022,0.015,0.008,0.019,0.1,0.419,0.246,0.123,0.06,0.051,18.82,2.84,66,10,47442.209,22,1.441255179,2.04614662,1.379042871,2.303733966,stage 1,f1,11,stage_1_frac_2,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_2
178,1019,930,0.91265947,1000.897,0.982234544,172291.333,18.18%,1.799,1.465,14.72757139,0.355,0.151,0.083,0.058,0.045,0.036,0.031,0.035,0.037,0.045,0.059,0.066,0.075,0.355,0.172,0.107,0.089,0.201,81.70000001,17.12,69.8,27,187830,83,1.636833955,2.144377005,1.55299364,2.289305054,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
179,703,811,1.153627312,907.418,1.290779516,72260.417,12.67%,1.712,1.348,14.07245413,0.37,0.165,0.087,0.056,0.048,0.049,0.053,0.052,0.045,0.033,0.024,0.019,0.103,0.352,0.192,0.151,0.112,0.09,27.23000001,4.960000001,68.1,16,71150.1,43,1.546143661,2.063060317,1.428293468,2.306265249,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
180,772,936,1.212435233,1130.911,1.464910622,150621.417,20.84%,1.749,1.45,14.80050276,0.343,0.184,0.114,0.074,0.051,0.042,0.04,0.036,0.029,0.023,0.026,0.035,0.08,0.382,0.21,0.147,0.081,0.1,62.57,13.15,87.8,19,143649.4085,57,1.597597191,2.13962488,1.535473811,2.287087816,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
181,1061,866,0.816211122,1081.526,1.0193459,201393.917,21.92%,1.759,1.49,14.78683671,0.344,0.174,0.106,0.073,0.057,0.047,0.041,0.036,0.033,0.028,0.029,0.033,0.089,0.391,0.197,0.117,0.086,0.121,79.90999997,13.14,82,33,188859.2786,101,1.604188277,2.163901254,1.577521518,2.29616425,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
182,880,766,0.870454545,907.352,1.031081818,129947.333,19.28%,1.716,1.428,14.61041343,0.422,0.195,0.108,0.064,0.045,0.035,0.028,0.025,0.026,0.024,0.016,0.013,0.078,0.454,0.219,0.111,0.068,0.069,37.63000001,8.620000003,76.5,17,82710.54047,45,1.565167823,2.115565134,1.490912244,2.289524171,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
183,941,1143,1.21466525,1214.287,1.290421892,186473.5,17.34%,1.77,1.478,15.09933739,0.361,0.176,0.104,0.069,0.047,0.036,0.03,0.035,0.039,0.038,0.034,0.03,0.082,0.368,0.194,0.121,0.106,0.129,74.78000003,15.77999999,85.9,27,165181.0815,90,1.612937465,2.178504359,1.551921378,2.300531178,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
184,823,913,1.109356015,1012.132,1.229808019,114724.917,15.27%,1.74,1.412,14.53022613,0.353,0.18,0.103,0.069,0.05,0.042,0.037,0.039,0.041,0.035,0.024,0.025,0.093,0.375,0.192,0.124,0.108,0.107,39.17000001,7.710000003,69.2,19,93575.20167,52,1.552945652,2.120499212,1.486643534,2.30605014,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
185,444,687,1.547297297,715.32,1.611081081,26185.167,8.58%,1.582,1.213,13.30891044,0.483,0.173,0.088,0.062,0.045,0.038,0.029,0.022,0.018,0.014,0.008,0.021,0.162,0.446,0.163,0.105,0.062,0.062,8.119999999,1.48,51.5,7,13917,12,1.397471792,2.012243985,1.234538185,2.363703721,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1
186,734,719,0.979564033,830.478,1.131441417,49172.917,9.32%,1.647,1.293,13.75198708,0.406,0.197,0.12,0.065,0.048,0.032,0.025,0.021,0.023,0.022,0.018,0.021,0.101,0.412,0.236,0.113,0.073,0.065,16.71000001,3.279999999,59,11,37881.4,24,1.47687757,2.034349845,1.354568764,2.299578322,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_2
187,682,673,0.986803519,701.63,1.028782991,59696.083,13.01%,1.708,1.331,13.97576642,0.342,0.183,0.109,0.083,0.062,0.053,0.046,0.037,0.032,0.022,0.012,0.018,0.095,0.354,0.248,0.157,0.091,0.055,20.72999999,3.91,52.2,13,44938,33,1.494547666,2.066886822,1.414049179,2.338403291,stage 1,f1,11,stage_1_frac_2,stage_1_frac_2,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1
188,812,756,0.931034483,818.799,1.008373153,89956.083,14.65%,1.744,1.381,14.18206735,0.354,0.178,0.098,0.067,0.053,0.048,0.046,0.043,0.038,0.031,0.022,0.022,0.104,0.363,0.215,0.128,0.092,0.099,40.27000001,6.139999999,58,21,72726.8,55,1.545219127,2.097082684,1.465850566,2.328479406,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1
189,772,1078,1.396373057,1091.676,1.414088083,116961,14.05%,1.724,1.417,14.55079543,0.331,0.174,0.113,0.071,0.06,0.056,0.051,0.043,0.034,0.023,0.019,0.025,0.084,0.338,0.233,0.175,0.095,0.075,47.50999999,8.670000002,79,17,86278.30875,48,1.530954437,2.116080943,1.508100476,2.304155668,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
190,952,736,0.773109244,996.216,1.046445378,148951,21.26%,1.745,1.451,14.53051479,0.333,0.174,0.119,0.082,0.054,0.041,0.039,0.04,0.038,0.034,0.024,0.023,0.079,0.369,0.224,0.133,0.095,0.099,62.85,10.19,73,24,125805.4309,66,1.586850165,2.145658689,1.544090355,2.299799904,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
192,759,635,0.836627141,981.94,1.29372859,98210.333,20.38%,1.779,1.395,14.19631422,0.29,0.171,0.105,0.07,0.054,0.047,0.043,0.041,0.044,0.048,0.043,0.043,0.085,0.329,0.19,0.133,0.118,0.146,41.99000001,6.479999998,75,30,83393.7,65,1.57640438,2.10833371,1.482106282,2.335761781,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1
193,1225,863,0.704489796,990.267,0.808381224,110227.25,10.43%,1.712,1.409,14.46986433,0.377,0.163,0.092,0.07,0.062,0.057,0.057,0.051,0.037,0.018,0.009,0.007,0.076,0.367,0.245,0.163,0.103,0.046,49.26000002,10.51,80,16,96861.49275,39,1.550676182,2.112800522,1.48764121,2.293627131,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
194,925,851,0.92,902.61,0.975794595,130733.333,16.61%,1.726,1.432,14.43821896,0.382,0.181,0.105,0.077,0.061,0.056,0.046,0.036,0.027,0.016,0.007,0.007,0.089,0.399,0.232,0.147,0.072,0.06,44.45,7.430000002,69.9,17,109993,59,1.561420994,2.116171187,1.510831815,2.314328189,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
195,880,705,0.801136364,807.259,0.917339773,88909.667,14.33%,1.721,1.383,14.14560428,0.362,0.19,0.115,0.074,0.056,0.046,0.043,0.036,0.031,0.019,0.013,0.016,0.1,0.399,0.215,0.137,0.084,0.065,34.05999999,6.2,61,19,78499.5,56,1.538040232,2.094081592,1.472424575,2.310884819,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
196,982,852,0.867617108,923.805,0.940738289,112411.083,13.44%,1.7,1.412,14.49458269,0.382,0.171,0.109,0.085,0.069,0.056,0.041,0.03,0.022,0.016,0.008,0.011,0.084,0.378,0.247,0.17,0.073,0.048,47.20000002,7.749999997,78.5,19,94400.7,46,1.524809533,2.116957616,1.501145816,2.286187731,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
197,1079,975,0.903614458,1073.639,0.995031511,130172.333,12.37%,1.689,1.428,14.69437834,0.43,0.197,0.096,0.059,0.045,0.041,0.035,0.034,0.029,0.02,0.009,0.006,0.098,0.419,0.217,0.133,0.079,0.053,42.51999998,8.209999996,78.9,18,83220.0486,43,1.526162242,2.12808059,1.502352413,2.303200449,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
198,773,796,1.029754204,1023.352,1.323870634,125857.25,20.45%,1.761,1.427,14.61115972,0.328,0.184,0.115,0.071,0.052,0.043,0.037,0.035,0.035,0.035,0.028,0.037,0.078,0.341,0.227,0.135,0.093,0.126,48.7,8.869999997,77,19,105875.4983,48,1.603211548,2.118242654,1.504859272,2.305001881,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
199,929,760,0.818083961,842.924,0.907345533,153212.25,21.70%,1.79,1.453,14.56007556,0.279,0.165,0.111,0.08,0.062,0.05,0.042,0.037,0.037,0.038,0.041,0.059,0.068,0.324,0.208,0.139,0.103,0.158,64.08000002,11.16,62,38,152701,86,1.61303423,2.147146425,1.546388004,2.296302513,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
200,852,704,0.82629108,946.602,1.111035211,163510.167,27.26%,1.808,1.464,14.67725467,0.263,0.152,0.106,0.082,0.061,0.049,0.045,0.047,0.053,0.056,0.052,0.035,0.071,0.296,0.2,0.136,0.129,0.166,76.12999998,12.94,77.1,34,169504,100,1.645691745,2.15645115,1.560968262,2.316434873,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
201,1039,776,0.746871992,881.621,0.848528393,116339.167,14.43%,1.741,1.418,14.37144362,0.424,0.159,0.091,0.06,0.047,0.042,0.043,0.039,0.032,0.026,0.02,0.017,0.092,0.421,0.195,0.129,0.084,0.079,51.52999998,9.860000004,80,28,94410.2,59,1.576906278,2.117374023,1.498828645,2.326263252,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
202,1005,904,0.899502488,960.758,0.955978109,110998.583,12.22%,1.71,1.409,14.60717859,0.39,0.185,0.1,0.081,0.065,0.054,0.045,0.036,0.023,0.011,0.005,0.006,0.086,0.396,0.233,0.141,0.084,0.059,36.76999999,7.589999997,77,16,84821.0622,38,1.552478158,2.11058859,1.488983151,2.310953728,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
C126,1034,1013,0.979690522,1070.066,1.034880077,144613.833,13.81%,1.744,1.443,14.54968475,0.385,0.173,0.097,0.066,0.052,0.042,0.039,0.039,0.037,0.031,0.02,0.02,0.085,0.376,0.201,0.146,0.101,0.092,69.01000003,11.75999999,74.1,25,108287,#N/A,1.572982365,2.137083444,1.532940161,2.290242274,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
W002,468,589,1.258547009,657.357,1.404608974,34577.333,12.54%,1.608,1.258,13.43773941,0.35,0.169,0.128,0.119,0.087,0.061,0.036,0.019,0.009,0.004,0.004,0.013,0.107,0.369,0.305,0.153,0.049,0.018,10.98,3.09,53.3,6,20118.8,#N/A,1.450268938,2.023478238,1.323520246,2.342896321,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1
W003,504,646,1.281746032,719.311,1.427204365,34625.333,10.63%,1.58,1.249,13.40730357,0.433,0.232,0.106,0.074,0.054,0.034,0.025,0.015,0.008,0.004,0.002,0.014,0.11,0.414,0.277,0.132,0.052,0.014,9.439999999,1.58,60.2,6,23160.83915,13,1.411519182,2.024523874,1.300260066,2.312460571,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_2
W004,552,827,1.498188406,861.126,1.56001087,51079.75,11.19%,1.662,1.302,13.78457082,0.384,0.198,0.101,0.067,0.063,0.051,0.04,0.031,0.025,0.017,0.01,0.013,0.097,0.423,0.234,0.132,0.064,0.049,19.2,3.53,60.5,10,45209.3,26,1.47849087,2.048807634,1.381371778,2.320089965,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_2
W005,510,629,1.233333333,776.187,1.521935294,33480.083,10.44%,1.609,1.248,13.42259352,0.377,0.155,0.102,0.092,0.077,0.058,0.04,0.022,0.014,0.013,0.016,0.033,0.119,0.351,0.248,0.142,0.079,0.062,7.1,1.43,58.5,5,20893.9,16,1.425820901,2.021483492,1.279824399,2.355031732,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1
W006,504,896,1.777777778,939.566,1.864218254,53450.417,11.84%,1.65,1.308,13.77338433,0.393,0.192,0.115,0.08,0.062,0.048,0.036,0.023,0.015,0.013,0.008,0.014,0.094,0.436,0.23,0.126,0.066,0.048,18.65,3.34,65.5,7,38572.2,23,1.457160635,2.040372469,1.374152454,2.302174717,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_2
W008,725,755,1.04137931,829.698,1.144411034,58071.917,10.61%,1.67,1.317,13.9027002,0.38,0.167,0.103,0.087,0.064,0.05,0.047,0.039,0.027,0.014,0.009,0.013,0.103,0.378,0.237,0.143,0.087,0.052,16.29000001,3.130000001,65.9,12,33172.5,#N/A,1.468976853,2.048406724,1.38403787,2.32308756,stage 1,f1,11,stage_1_frac_2,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_2
W009,828,784,0.946859903,924.508,1.116555556,119869.167,18.47%,1.794,1.423,14.30677918,0.302,0.165,0.095,0.065,0.047,0.04,0.036,0.039,0.043,0.052,0.061,0.055,0.073,0.306,0.196,0.139,0.107,0.181,57.01999997,10.35,65,31,133221,79,1.624489453,2.121008795,1.522036149,2.306623298,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W010,775,931,1.201290323,1046.851,1.350775484,96295.667,13.35%,1.71,1.39,14.27878477,0.341,0.176,0.113,0.087,0.07,0.053,0.04,0.032,0.026,0.023,0.018,0.022,0.099,0.355,0.253,0.144,0.076,0.072,35.62,6.740000001,78,18,74323.88646,45,1.50153213,2.093035319,1.468438675,2.311338182,stage 1,f2,12,stage_1_frac_2,stage_1_frac_2,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
W011,1061,821,0.773798303,1083.155556,1.020881768,116479.75,13.37%,1.703,1.414,14.31938664,0.397,0.18,0.114,0.082,0.055,0.04,0.029,0.025,0.021,0.018,0.015,0.024,0.088,0.436,0.225,0.119,0.063,0.07,58.59000003,9.729999998,85,20,99594.811,51,1.481819032,2.112322224,1.497326619,2.295645567,stage 1,f2,12,stage_1_frac_1,stage_1_frac_2,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
W012,577,1141,1.977469671,1188.340741,2.059516015,69992.667,10.63%,1.615,1.347,14.07381847,0.379,0.214,0.138,0.098,0.07,0.041,0.023,0.012,0.008,0.006,0.004,0.009,0.114,0.432,0.26,0.125,0.041,0.028,33.31999999,6.389999998,85,8,52563.553,23,1.443193169,2.073842288,1.405667506,2.310866369,stage 1,f1,11,stage_1_frac_2,stage_1_frac_2,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
W013,538,856,1.591078067,926.1185185,1.721409886,86150.833,18.71%,1.714,1.376,14.12787219,0.306,0.176,0.125,0.089,0.062,0.057,0.05,0.041,0.031,0.022,0.018,0.022,0.084,0.357,0.242,0.151,0.085,0.08,32.96,5.93,67,14,70381.219,36,1.505563716,2.081037642,1.456220492,2.305620169,stage 1,f2,12,stage_1_frac_2,stage_1_frac_2,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
W014,808,987,1.221534653,1036.57,1.282883663,147459.583,18.49%,1.769,1.446,14.57749299,0.376,0.16,0.085,0.063,0.051,0.039,0.036,0.037,0.033,0.033,0.034,0.053,0.082,0.377,0.189,0.12,0.085,0.147,68.93000001,12.93,73.5,23,152793.7106,73,1.597001013,2.127170671,1.53356938,2.295737038,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
W015,1073,986,0.918918919,1074.966,1.001832246,221913.417,20.98%,1.798,1.504,14.90195307,0.328,0.147,0.098,0.069,0.055,0.046,0.04,0.036,0.04,0.043,0.044,0.053,0.075,0.344,0.201,0.126,0.094,0.159,111.99,20.3,77.9,30,241747,114,1.627206616,2.184512463,1.598788146,2.287806713,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
W019,1013,863,0.851924975,1093.885,1.079846989,118408.417,13.54%,1.7,1.421,14.44928474,0.375,0.172,0.111,0.081,0.066,0.055,0.046,0.035,0.025,0.016,0.01,0.007,0.092,0.393,0.236,0.154,0.075,0.051,52.82000001,9.260000003,86,15,105778.6361,43,1.521818023,2.119460083,1.512175205,2.290352842,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
W022,689,663,0.962264151,877.832,1.274066763,38514.083,8.43%,1.59,1.262,13.51077603,0.317,0.213,0.158,0.114,0.074,0.041,0.029,0.019,0.011,0.004,0.003,0.018,0.09,0.382,0.304,0.159,0.044,0.021,13.11,2.36,68.2,5,28934.8,14,1.444935247,2.03275171,1.334465416,2.284717494,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_0
W023,786,993,1.263358779,1040.344,1.323592875,128573.833,16.47%,1.779,1.427,14.51334548,0.361,0.154,0.089,0.058,0.043,0.04,0.041,0.045,0.049,0.049,0.039,0.031,0.085,0.354,0.18,0.122,0.101,0.158,62.05000002,11.23999999,75,36,116886,83,1.592255957,2.127541026,1.516096588,2.329365559,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_1
W025,880,765,0.869318182,922.092,1.047831818,166458,24.73%,1.799,1.468,14.69023742,0.255,0.153,0.11,0.082,0.062,0.055,0.055,0.055,0.047,0.043,0.045,0.037,0.062,0.297,0.218,0.138,0.105,0.18,79.67999998,12.03,83.1,30,188373,98,1.634977266,2.157863963,1.566485953,2.303735659,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W026,945,979,1.035978836,1047.079,1.108020106,151027.333,16.32%,1.758,1.451,14.80350495,0.321,0.169,0.103,0.071,0.059,0.054,0.054,0.053,0.045,0.033,0.022,0.017,0.077,0.341,0.218,0.162,0.113,0.088,54.62999998,10.83,80.5,19,123602.1171,55,1.586396208,2.148357479,1.538788618,2.302954331,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W027,846,857,1.013002364,1088.497,1.28663948,125322.583,17.29%,1.715,1.426,14.44538886,0.382,0.177,0.1,0.078,0.068,0.058,0.042,0.03,0.023,0.016,0.011,0.016,0.085,0.379,0.235,0.152,0.083,0.065,59.27000001,10.03,84,17,108404.3837,55,1.541391624,2.114479075,1.512156508,2.292721845,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
W028,662,651,0.983383686,705.565,1.065808157,90431.75,20.98%,1.774,1.384,14.24189934,0.349,0.146,0.095,0.071,0.055,0.049,0.044,0.04,0.039,0.035,0.035,0.04,0.084,0.332,0.202,0.138,0.109,0.135,40.65,7.129999997,52.2,27,84646.8,62,1.600890229,2.088769857,1.470386523,2.328050452,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1
W030,904,747,0.826327434,885.071,0.979060841,138377.917,20.49%,1.77,1.442,14.52972493,0.331,0.155,0.104,0.081,0.062,0.05,0.043,0.04,0.037,0.035,0.033,0.03,0.088,0.339,0.212,0.142,0.095,0.124,49.94000001,9.679999997,68.1,28,129698,85,1.588609716,2.140897198,1.533052256,2.320360546,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W032,1067,957,0.896907216,999.775,0.936996251,159964.583,15.67%,1.77,1.459,14.84876351,0.364,0.172,0.103,0.072,0.052,0.043,0.037,0.033,0.031,0.032,0.029,0.031,0.085,0.363,0.206,0.127,0.084,0.135,63.12000003,12.98,75,25,158501.8491,78,1.613754645,2.148782902,1.548876821,2.306101073,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W033,1218,826,0.67816092,1141.847,0.937477011,145611.417,14.47%,1.707,1.443,14.72975456,0.375,0.187,0.107,0.078,0.065,0.051,0.04,0.03,0.023,0.017,0.012,0.013,0.077,0.405,0.236,0.144,0.086,0.051,64.09000003,14.13999999,87.2,17,108476.9698,44,1.543076337,2.135867917,1.516114385,2.27983816,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
W035,1141,859,0.752848379,902.156,0.790671341,173170,17.67%,1.803,1.469,14.63101471,0.295,0.16,0.097,0.075,0.06,0.048,0.039,0.039,0.041,0.042,0.052,0.052,0.076,0.324,0.199,0.128,0.1,0.173,68.81999997,13.65000001,63.8,44,148088,104,1.624563938,2.151289706,1.554994036,2.313837916,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W037,657,789,1.200913242,974.834,1.483765601,109329.917,21.09%,1.806,1.408,14.27290065,0.316,0.15,0.102,0.063,0.045,0.035,0.035,0.034,0.041,0.045,0.056,0.077,0.084,0.293,0.178,0.113,0.107,0.224,63.29000001,11.72,73.5,38,116416,82,1.61586476,2.111879838,1.499073346,2.337215968,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1
W038,851,753,0.884841363,826.652,0.971388954,87345.583,13.63%,1.757,1.375,14.11276647,0.368,0.176,0.089,0.053,0.043,0.038,0.042,0.048,0.047,0.04,0.031,0.026,0.099,0.362,0.204,0.115,0.085,0.135,31.30000001,5.98,54,25,85877.4,62,1.594829447,2.087126513,1.458584564,2.326694801,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
W039,810,936,1.155555556,957.851,1.182532099,109237.5,14.41%,1.756,1.405,14.51779697,0.377,0.16,0.087,0.065,0.054,0.046,0.046,0.041,0.034,0.032,0.031,0.028,0.08,0.351,0.194,0.157,0.108,0.11,36.20000001,8.249999997,69,19,87782.41163,52,1.570717075,2.105997425,1.485494112,2.317938966,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
W040,738,726,0.983739837,764.848,1.036379404,121871.833,22.75%,1.809,1.422,14.20176821,0.286,0.139,0.092,0.064,0.054,0.047,0.043,0.042,0.043,0.047,0.061,0.083,0.072,0.289,0.173,0.134,0.119,0.214,57.97999997,10.69,54,33,153743,88,1.61876133,2.11083708,1.513679294,2.288916494,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
W042,915,630,0.68852459,955.496,1.044257923,125128,21.71%,1.74,1.435,14.56422552,0.296,0.186,0.126,0.087,0.062,0.051,0.046,0.043,0.039,0.032,0.021,0.012,0.085,0.355,0.242,0.149,0.099,0.07,41.52000001,7.18,68,20,108055,56,1.562292272,2.140610673,1.5309867,2.315537579,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W044,705,638,0.904964539,754.935,1.070829787,106830.917,23.75%,1.815,1.41,14.12537679,0.262,0.138,0.09,0.065,0.058,0.047,0.041,0.042,0.044,0.058,0.074,0.079,0.075,0.26,0.182,0.121,0.106,0.257,56.85999999,9.690000001,48.8,32,132742,86,1.626189137,2.099965756,1.508928083,2.311731031,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
W048,695,819,1.178417266,928.401,1.335828777,86004.833,15.11%,1.719,1.374,14.13389253,0.377,0.167,0.098,0.072,0.053,0.05,0.048,0.042,0.034,0.024,0.016,0.019,0.075,0.395,0.232,0.136,0.087,0.076,33.79000001,6.439999999,74,13,74334.01363,36,1.541373442,2.081068107,1.458916692,2.29324572,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
