ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,鲜重(g),干重(g),株高(cm),分蘖数,绿叶面积(mm2),叶片数,SandBox,D1,D2,RFD,stage,frac,frac_stage,frac_SFD,frac_SandBox,frac_D1,frac_D2,frac_RFD
142,1199,2126,1.773144287,2207.6,1.841201001,629715.25,24.70%,1.821,1.623,16.39145972,0.256,0.15,0.107,0.081,0.063,0.051,0.049,0.045,0.045,0.047,0.057,0.05,0.068,0.281,0.196,0.14,0.124,0.191,491.7400002,167.4,172,,384260.9032,,1.672188917,2.339704765,1.635423891,2.277297737,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
145,1058,1270,1.200378072,1281.674074,1.211412168,253058.25,18.83%,1.793,1.507,15.12268079,0.278,0.163,0.107,0.079,0.06,0.05,0.042,0.041,0.041,0.043,0.043,0.051,0.068,0.31,0.205,0.138,0.105,0.175,210.4199999,47.68999999,93,,290675.0413,,1.678526714,2.195612795,1.571782994,2.283153825,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_0
146,727,1110,1.526822558,1158.711111,1.593825462,201675.667,24.99%,1.807,1.492,14.86231834,0.281,0.164,0.1,0.066,0.053,0.047,0.043,0.046,0.048,0.048,0.049,0.055,0.07,0.306,0.198,0.132,0.118,0.177,139.12,42.78000001,85,,220268.2863,,1.66899414,2.152996097,1.587198679,2.305788142,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
148,861,1519,1.764227642,1561.674074,1.813791027,303795.083,23.23%,1.822,1.527,15.31692801,0.282,0.15,0.086,0.062,0.05,0.047,0.048,0.048,0.054,0.061,0.065,0.048,0.057,0.304,0.168,0.128,0.118,0.225,220.59,63.17000001,111,,325742.7681,,1.710099436,2.197193574,1.590836097,2.279266049,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_0
149,992,1111,1.119959677,1382.414815,1.393563321,184474.75,16.74%,1.716,1.482,15.19692934,0.328,0.216,0.136,0.09,0.063,0.045,0.033,0.024,0.018,0.013,0.015,0.019,0.093,0.412,0.237,0.122,0.066,0.071,140.96,39.07,95,,138196.7751,,1.595430351,2.180659851,1.570420678,2.292999079,stage 3,f0,30,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
151,987,1348,1.365754813,1369.081481,1.387113963,353880.917,26.60%,1.823,1.553,15.59595816,0.235,0.13,0.099,0.081,0.073,0.071,0.067,0.061,0.051,0.046,0.048,0.038,0.049,0.259,0.213,0.182,0.137,0.161,265.7999999,76.53000001,99,,276535.8637,,1.664967332,2.24272125,1.616638023,2.304015416,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1
152,1031,1307,1.267701261,1392.785185,1.350907066,298012.25,22.12%,1.823,1.524,15.32570086,0.27,0.136,0.092,0.071,0.059,0.052,0.049,0.048,0.052,0.057,0.066,0.049,0.049,0.289,0.19,0.143,0.112,0.216,247.55,72.74000003,97,,311182.1257,,1.70588755,2.197347059,1.587680692,2.255128906,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_0
153,1260,1218,0.966666667,1490.562963,1.182986479,270515.75,17.63%,1.737,1.512,15.23818171,0.325,0.207,0.141,0.114,0.088,0.056,0.028,0.014,0.008,0.006,0.005,0.006,0.062,0.382,0.243,0.165,0.096,0.052,203.3200001,69.10000002,122,,208944.2683,,1.630703751,2.195367201,1.573819202,2.247369394,stage 3,f0,30,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_0
155,839,1182,1.408820024,1238.711111,1.47641372,223960.75,22.58%,1.804,1.5,15.08156772,0.266,0.142,0.102,0.08,0.061,0.051,0.047,0.054,0.058,0.059,0.049,0.031,0.054,0.276,0.197,0.161,0.149,0.163,155.2400001,48.48000001,90,,186518.9331,,1.657293274,2.189241194,1.559574245,2.298119733,stage 3,f0,30,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
156,948,799,0.842827004,1010.562963,1.065994687,156696.167,20.69%,1.797,1.455,14.87481201,0.279,0.16,0.122,0.113,0.1,0.081,0.06,0.041,0.023,0.012,0.005,0.005,0.063,0.325,0.216,0.162,0.13,0.104,96.91000002,32.88999999,70,,105219.7035,,1.5980956,2.135470619,1.51701565,2.308096869,stage 3,f2,32,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
157,913,1124,1.231106243,1166.118519,1.277238246,207032.667,20.17%,1.772,1.5,15.08765718,0.309,0.152,0.103,0.079,0.068,0.062,0.056,0.051,0.04,0.029,0.024,0.025,0.07,0.31,0.234,0.173,0.11,0.103,140.09,47.84000002,84,,165851.4615,,1.616959411,2.195189826,1.590236604,2.317364164,stage 3,f0,30,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
159,856,1032,1.205607477,1102.414815,1.287867774,188370.75,21.32%,1.801,1.483,14.77603091,0.241,0.135,0.098,0.077,0.07,0.066,0.065,0.061,0.059,0.052,0.043,0.032,0.056,0.251,0.217,0.187,0.144,0.145,117.83,29.33,91,,188650.6298,,1.639743061,2.159868149,1.579387459,2.286429746,stage 3,f0,30,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_0
160,812,1106,1.362068966,1177.97037,1.450702427,218006.833,24.27%,1.823,1.5,14.74410351,0.282,0.192,0.156,0.142,0.096,0.053,0.031,0.02,0.013,0.008,0.005,0.004,0.052,0.388,0.321,0.172,0.05,0.018,147.0400001,35.79999999,83,,259424.4826,,1.678589518,2.138640344,1.599766936,2.299140033,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1
161,860,1070,1.244186047,1096.488889,1.27498708,210432.417,22.87%,1.828,1.497,15.08083859,0.276,0.146,0.103,0.078,0.058,0.041,0.032,0.028,0.033,0.046,0.064,0.093,0.068,0.285,0.185,0.124,0.095,0.242,153.2300001,48.09999999,79,,224906.6273,,1.672742777,2.17176826,1.558202963,2.284980134,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_0
163,930,1371,1.474193548,1419.451852,1.526292314,217661,17.07%,1.809,1.489,15.30562909,0.302,0.145,0.09,0.075,0.058,0.055,0.059,0.056,0.053,0.047,0.033,0.026,0.077,0.27,0.192,0.177,0.131,0.153,188.5,69.75000002,100,,153082.1654,,1.637458611,2.186154272,1.5182151,2.305568679,stage 3,f0,30,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
164,688,1232,1.790697674,1500.933333,2.181589147,208842.5,24.64%,1.83,1.478,15.17484044,0.273,0.13,0.085,0.065,0.049,0.041,0.039,0.045,0.053,0.063,0.072,0.084,0.076,0.26,0.18,0.132,0.12,0.231,201.7400001,62,93,,108087.0495,,1.68696526,2.162981277,1.527579812,2.312314081,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
165,1211,1189,0.981833196,1216.488889,1.004532526,334478.083,23.23%,1.804,1.554,15.51803395,0.243,0.142,0.102,0.085,0.072,0.066,0.063,0.061,0.059,0.049,0.036,0.021,0.05,0.282,0.211,0.181,0.148,0.128,201.8,63.61999998,92,,244719.2495,,1.658908789,2.250825852,1.630839011,2.28225056,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
168,980,1452,1.481632653,1535.007407,1.566334089,358078.25,25.16%,1.828,1.553,15.53542871,0.263,0.138,0.081,0.062,0.053,0.052,0.053,0.06,0.064,0.072,0.063,0.039,0.058,0.258,0.176,0.145,0.162,0.2,254.13,85.12000003,106,,307859.8807,,1.689051077,2.240291132,1.616064452,2.29555217,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1
169,823,1457,1.770352369,1472.785185,1.789532424,262958.5,21.93%,1.809,1.511,15.2614753,0.283,0.149,0.095,0.069,0.055,0.044,0.043,0.044,0.048,0.054,0.057,0.059,0.066,0.299,0.187,0.126,0.111,0.211,211.19,95.05000001,108,,268666.616,,1.685589387,2.178385526,1.567063728,2.293353607,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
170,715,1330,1.86013986,1349.822222,1.887863248,180367.083,18.97%,1.778,1.466,14.89025288,0.313,0.167,0.123,0.11,0.088,0.067,0.048,0.034,0.022,0.016,0.006,0.005,0.067,0.369,0.271,0.167,0.092,0.035,118.32,32.67000001,96,,166096.4518,,1.631280299,2.143811868,1.537539689,2.308766656,stage 3,f2,32,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
171,1026,1465,1.427875244,1592.785185,1.552422208,149737.167,9.96%,1.72,1.429,15.09923652,0.384,0.193,0.109,0.065,0.052,0.047,0.043,0.037,0.029,0.02,0.011,0.01,0.097,0.376,0.218,0.142,0.09,0.076,125.95,48.14999999,124,,93947.29039,,1.6219854,2.102266353,1.455003465,2.308377458,stage 3,f2,32,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1
172,952,1231,1.293067227,1259.451852,1.322953626,138947.917,11.86%,1.707,1.424,14.82565926,0.436,0.222,0.151,0.091,0.043,0.021,0.012,0.01,0.006,0.003,0.002,0.003,0.088,0.542,0.258,0.077,0.025,0.009,87.51000004,34.99999998,92,,91412.20278,,1.585841579,2.113946395,1.484419628,2.275179109,stage 3,f2,32,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_1,stage_3_frac_0
174,833,1535,1.842737095,1563.155556,1.876537282,370062.583,28.94%,1.852,1.557,15.59293587,0.231,0.135,0.087,0.064,0.05,0.05,0.046,0.043,0.046,0.065,0.09,0.092,0.053,0.232,0.171,0.126,0.118,0.301,404.6299999,107.69,112,,440901.2477,,1.730898246,2.23473473,1.616658767,2.282885766,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1,stage_3_frac_0,stage_3_frac_0
175,1050,1420,1.352380952,1469.822222,1.399830688,436753.667,29.29%,1.854,1.577,15.52094461,0.209,0.132,0.092,0.075,0.061,0.052,0.045,0.044,0.048,0.057,0.079,0.106,0.052,0.233,0.184,0.14,0.112,0.279,452.07,113.91,106,,702676.3483,,1.73874121,2.246298576,1.648667672,2.280264295,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
178,1020,1495,1.465686275,1529.081481,1.499099492,280988.083,18.43%,1.802,1.519,15.37957242,0.278,0.156,0.101,0.074,0.059,0.053,0.05,0.043,0.041,0.044,0.052,0.048,0.067,0.313,0.186,0.137,0.109,0.187,210.1999999,65.66999999,107,,268592.1402,,1.694538471,2.18673924,1.619541483,2.249830076,stage 3,f3,33,stage_3_frac_1,stage_3_frac_0,stage_3_frac_1,stage_3_frac_0,stage_3_frac_0
179,1141,1692,1.482909728,1810.562963,1.586821177,382588.333,19.82%,1.805,1.561,15.85791197,0.287,0.159,0.101,0.079,0.067,0.056,0.048,0.042,0.034,0.033,0.042,0.053,0.069,0.303,0.199,0.141,0.103,0.184,326.56,93.28000004,134,,282763.8313,,1.695058276,2.247508856,1.588571265,2.264659173,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1,stage_3_frac_0
